flight_id,fuel_cost_usd,crew_cost_usd,airport_fees_usd,nav_fees_usd,handling_cost_usd,total_operating_cost_usd
FLT00418,2288.0,595.83,450.0,86.01,305.0,3724.84
FLT00419,2464.0,641.67,450.0,95.16,305.0,3955.83
FLT00420,2156.0,700.0,1200.0,103.95,412.5,4572.45
FLT00421,2464.0,641.67,1200.0,76.86,305.0,4687.53
FLT00422,4576.0,1191.67,1200.0,168.36,305.0,7441.03
FLT00423,4004.0,1300.0,1200.0,227.7,412.5,7144.2
FLT00424,2926.0,950.0,1200.0,205.42,412.5,5693.92
FLT00425,3483.33,918.33,1200.0,186.75,375.0,6163.41
FLT00426,2992.0,779.17,1200.0,118.95,305.0,5395.12
FLT00427,3080.0,1000.0,1200.0,195.52,412.5,5888.02
FLT00428,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00429,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00430,2464.0,641.67,1200.0,76.86,305.0,4687.53
FLT00431,4576.0,1191.67,1200.0,168.36,305.0,7441.03
FLT00432,3483.33,918.33,1200.0,186.75,375.0,6163.41
FLT00433,1833.33,483.33,450.0,78.75,375.0,3220.41
FLT00434,2383.33,628.33,450.0,105.75,375.0,3942.41
FLT00435,2156.0,700.0,450.0,128.7,412.5,3847.2
FLT00436,2156.0,700.0,1200.0,103.95,412.5,4572.45
FLT00437,2156.0,700.0,1200.0,103.95,412.5,4572.45
FLT00438,4004.0,1300.0,1200.0,227.7,412.5,7144.2
FLT00439,4766.67,1256.67,1200.0,207.0,375.0,7805.34
FLT00440,3344.0,870.83,1200.0,151.89,305.0,5871.72
FLT00441,3483.33,918.33,1200.0,186.75,375.0,6163.41
FLT00442,2618.0,850.0,1200.0,160.88,412.5,5241.38
FLT00443,3666.67,966.67,1200.0,177.75,375.0,6386.09
FLT00444,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00445,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00446,2566.67,676.67,1200.0,94.5,375.0,4912.84
FLT00447,4576.0,1191.67,1200.0,168.36,305.0,7441.03
FLT00448,3344.0,870.83,1200.0,151.89,305.0,5871.72
FLT00449,1540.0,500.0,450.0,86.62,412.5,2989.12
FLT00450,2288.0,595.83,450.0,86.01,305.0,3724.84
FLT00451,2566.67,676.67,450.0,117.0,375.0,4185.34
FLT00452,2156.0,700.0,1200.0,103.95,412.5,4572.45
FLT00453,2464.0,641.67,1200.0,76.86,305.0,4687.53
FLT00454,4576.0,1191.67,1200.0,168.36,305.0,7441.03
FLT00455,4576.0,1191.67,1200.0,168.36,305.0,7441.03
FLT00456,2926.0,950.0,1200.0,205.42,412.5,5693.92
FLT00457,3483.33,918.33,1200.0,186.75,375.0,6163.41
FLT00458,3116.67,821.67,1200.0,146.25,375.0,5659.59
FLT00459,3080.0,1000.0,1200.0,195.52,412.5,5888.02
FLT00460,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00461,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00462,2156.0,700.0,1200.0,103.95,412.5,4572.45
FLT00463,4004.0,1300.0,1200.0,227.7,412.5,7144.2
FLT00464,3344.0,870.83,1200.0,151.89,305.0,5871.72
FLT00465,1540.0,500.0,450.0,86.62,412.5,2989.12
FLT00466,2002.0,650.0,450.0,116.32,412.5,3630.82
FLT00467,2156.0,700.0,450.0,128.7,412.5,3847.2
FLT00468,2566.67,676.67,1200.0,94.5,375.0,4912.84
FLT00469,2566.67,676.67,1200.0,94.5,375.0,4912.84
FLT00470,4004.0,1300.0,1200.0,227.7,412.5,7144.2
FLT00471,4004.0,1300.0,1200.0,227.7,412.5,7144.2
FLT00472,2926.0,950.0,1200.0,205.42,412.5,5693.92
FLT00473,3344.0,870.83,1200.0,151.89,305.0,5871.72
FLT00474,3116.67,821.67,1200.0,146.25,375.0,5659.59
FLT00475,3520.0,916.67,1200.0,144.57,305.0,6086.24
FLT00476,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00477,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00478,2566.67,676.67,1200.0,94.5,375.0,4912.84
FLT00479,4766.67,1256.67,1200.0,207.0,375.0,7805.34
FLT00480,2926.0,950.0,1200.0,205.42,412.5,5693.92
